X,Y,district,monument_id,ste_name,period,category,subcategory,type
232452.0001,6731083,Nousiainen,1000031184,Pääskysmäki 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232698.0003,6731219,Nousiainen,1000031185,Pääskysmäki 4,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
341992.9998,6816039,Kangasala,1000028868,Liuksiala 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233636,6729943,Nousiainen,1000031187,Pyykoski 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
230560.0001,6731117,Nousiainen,1000031188,Uusipelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
226124.9998,6736687,Mynämäki,1000031074,Aittamäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
367155.9998,6786245,Hämeenlinna,1000027133,Vähä-Hannula,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
595975.0001,6798522,Ruokolahti,1000031069,Halppila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
231499.0003,6729104,Nousiainen,1000031083,Mattila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
231364,6728459,Nousiainen,1000031085,Haavisto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
369260,6786042,Hämeenlinna,1000031092,Heikkilä 1,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232399.9998,6730925,Nousiainen,1000031183,Pääskysmäki 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
486682.3749,7161798.625,Vaala,1000031291,Koveronkoski,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
363090.9998,6788555,Hämeenlinna,1000028931,Vapunkorpi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
427857,6778225,Asikkala,1000031253,Sipilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
341514.9998,6777765,Hämeenlinna,1000024360,Niemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
475712.0001,6701887,Pyhtää,1000024496,Tyyslahti,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233476.9999,6729217,Nousiainen,1000028916,Pilpola 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
229571.9999,6728283,Nousiainen,1000028928,Sukkinen 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
416020.0001,6763023,Hollola,1000030284,Hälvälä 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
580910.0001,6834010,Sulkava,1000027632,Ylimmäinen Saapassaari,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
622022.0002,6836555,Savonlinna,1000026499,Suuri Pirttilampi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
360290,6769070,Hämeenlinna,1000027131,Tuiskula,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
394360.0002,6773265,Hämeenlinna,1000024432,Penttilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
415178.0002,6697939,Porvoo,1000027655,Box 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
597004.9999,6797859,Ruokolahti,1000027142,Kyöstänniitty 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
230219.0001,6722721,Masku,1000032294,Villilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
224258,6723562,Masku,1000028917,Riihipelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
234240.0001,6731053,Nousiainen,1000028910,Lonki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
317527.9999,6721851,Somero,1000035493,Nikkarinsalmi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
314733,6819161,Nokia,1000035479,Kurjenhännänlahti,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
587031.0002,7346719,Kuusamo,1000035489,Hingarniemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
324004.0002,6746310,Tammela,1000035497,Urheilukentän mäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
356454.0002,6776085,Hattula,1000034405,Seppälä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
226398.9999,6736986,Mynämäki,1000031109,Ylisjunttila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
226687.0002,6737592,Mynämäki,1000032291,Hämölä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
554077.9999,6778258,Taipalsaari,1000034483,Aittaluoto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
365959.0001,6759192,Hämeenlinna,1000032250,Ylänne,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
213938.0002,6739053,Vehmaa,1000032290,Riihimäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233703.9998,6729488,Nousiainen,1000028927,Katunpää,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
227129,6737826,Mynämäki,1000034496,Kittilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
350049,6776269,Hämeenlinna,1000034509,Marila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
234366.0001,6730782,Nousiainen,1000034641,Räpi II,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
358830.0002,6772904,Hattula,1000034744,Ventolan pelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
229932.0002,6729163,Nousiainen,1000034720,Päkkilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
428644.9999,6778765,Asikkala,1000031486,Kuoppala,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
343014,6816198,Kangasala,1000031562,Tompinniemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
