objecttype,easting,northing,seals,fromdate,todate
BUCKLE,"604000","125000","0","1300","1500"
BUCKLE,"605000","124000","0","1300","1400"
BUCKLE,"612000","155000","0","1300","1399"
BUCKLE,"619000","151000","0","1300","1500"
BUCKLE,"620000","150000","0","1300","1500"
BUCKLE,"622000","153000","0","1300","1500"
BUCKLE,"623000","156000","0","1300","1400"
BUCKLE,"624000","154000","0","1300","1400"
BUCKLE,"624000","154000","0","1300","1400"
BUCKLE,"625000","153000","0","1300","1450"
BUCKLE,"625000","166000","0","1300","1500"
BUCKLE,"626000","150000","0","1300","1400"
BUCKLE,"626000","152000","0","1300","1500"
BUCKLE,"626000","153000","0","1300","1500"
BUCKLE,"627000","159000","0","1300","1500"
BUCKLE,"628000","156000","0","1300","1500"
BUCKLE,"630000","149000","0","1300","1400"
BUCKLE,"632000","144000","0","1300","1900"
BUCKLE,"550000","146000","0","1350","1650"
BUCKLE,"550000","146000","0","1350","1650"
BUCKLE,"552000","147000","0","1350","1650"
BUCKLE,"556000","170000","0","1350","1400"
BUCKLE,"557000","169000","0","1350","1400"
BUCKLE,"558000","165000","0","1350","1450"
BUCKLE,"558000","165000","0","1350","1650"
BUCKLE,"558000","165000","0","1350","1650"
BUCKLE,"558000","165000","0","1350","1650"
BUCKLE,"558000","165000","0","1350","1450"
BUCKLE,"560000","166000","0","1350","1400"
BUCKLE,"560000","171000","0","1350","1450"
BUCKLE,"562000","151000","0","1350","1450"
BUCKLE,"562000","171000","0","1350","1650"
BUCKLE,"562000","171000","0","1350","1450"
BUCKLE,"562000","171000","0","1350","1450"
BUCKLE,"563000","171000","0","1350","1400"
BUCKLE,"564000","162000","0","1350","1450"
BUCKLE,"564000","162000","0","1350","1650"
BUCKLE,"564000","169000","0","1350","1450"
BUCKLE,"566000","168000","0","1350","1400"
BUCKLE,"568000","167000","0","1350","1400"
BUCKLE,"568000","172000","0","1350","1500"
BUCKLE,"575000","151000","0","1350","1500"
BUCKLE,"576000","159000","0","1350","1450"
BUCKLE,"577000","137000","0","1350","1450"
BUCKLE,"578000","158000","0","1350","1450"
BUCKLE,"579000","137000","0","1350","1650"
